roll_no,course_code,grade
2023000820,CSEN2011,O
2023000820,CSEN2021,O
2023000470,CSEN2011,B+
2023000470,CSEN2021,B+
2023001266,CSEN2011,A+
2023001266,CSEN2021,A+
2023000532,CSEN2011,A
2023000532,CSEN2021,B+
2023000287,CSEN2011,B+
2023000287,CSEN2021,B+
2023005182,CSEN2011,B+
2023005182,CSEN2021,B+
2023000048,CSEN2011,B+
2023000048,CSEN2021,C
2023003476,CSEN1101,A
2023003476,CSEN2011,A
2023004071,CSEN1101,A
2023004071,CSEN2011,B+
2023000017,CSEN2011,B+
2023003112,CSEN2011,B+
2023002640,CSEN2011,A
2023002800,CSEN2011,A
2023004408,CSEN2011,A
2023001493,CSEN2011,A+
2023003730,CSEN2011,A
2023000010,CSEN2011,A
2023000883,CSEN2011,B+
2023000427,CSEN2011,B+
2023000430,CSEN2011,A+
2023001344,CSEN2011,B+
2023002087,CSEN2011,B+
2023003966,CSEN2011,O
2023000670,CSEN2011,B+
2023000919,CSEN2011,B
2023001382,CSEN2011,B
2023000590,CSEN2011,B+
2023004283,CSEN2011,B+
2023003946,CSEN2011,A
2023005692,CSEN2011,C
2023003971,CSEN2011,O
2023000321,CSEN2011,A+
2023001673,CSEN2011,F
2023000028,CSEN1101,B+
2023000028,CSEN2011,B+
2023000028,CSEN2021,B+
2023000028,MATH2361,B+
2023002925,CSEN1101,A
2023002925,CSEN2011,F
2023002925,CSEN2021,B+
2023000128,CSEN1101,C
2023000128,CSEN2021,F
2023000026,CSEN1101,C
2023000026,CSEN2021,P
2023000812,CSEN1101,A+
2023000812,CSEN2011,A
2023000812,CSEN2021,O
2023000788,CSEN1101,A+
2023000788,CSEN2011,A+
2023000788,CSEN2021,A
2023004640,CSEN1101,B
2023004640,CSEN2011,B
2023004640,CSEN2021,B+
2023001787,CSEN1101,O
2023001787,CSEN2011,O
2023001787,CSEN2021,O
2023002347,CSEN1101,B+
2023002347,CSEN2011,B+
2023002347,CSEN2021,B+
2023002725,CSEN1101,O
2023002725,CSEN2011,O
2023002725,CSEN2021,O
2023004160,CSEN1101,A
2023004160,CSEN2011,B
2023004160,CSEN2021,B
2023000305,CSEN1101,B
2023000305,CSEN2011,A
2023000305,CSEN2021,A
2023001773,CSEN1101,B
2023001773,CSEN2011,B
2023001773,CSEN2021,B
2023000779,CSEN1101,B+
2023000779,CSEN2011,B+
2023000779,CSEN2021,A
2023001215,CSEN1101,B
2023001215,CSEN2011,B
2023001215,CSEN2021,B
2023001244,CSEN1101,A
2023001244,CSEN2011,B+
2023001244,CSEN2021,B+
2023000862,CSEN1101,A+
2023000862,CSEN2011,B+
2023000862,CSEN2021,B+
2023001757,CSEN1101,B+
2023001757,CSEN2011,A
2023001757,CSEN2021,B+
2023001746,CSEN1101,B+
2023001746,CSEN2011,B+
2023001746,CSEN2021,C
2023003038,CSEN1101,O
2023003038,CSEN2011,A+
2023003038,CSEN2021,O
2023003410,CSEN1101,A+
2023003410,CSEN2011,A
2023003410,CSEN2021,B+
2023000886,CSEN1101,A+
2023000886,CSEN2011,A
2023000886,CSEN2021,O
2023001763,CSEN1101,C
2023001763,CSEN2011,C
2023001763,CSEN2021,C
2023001231,CSEN1101,A
2023001231,CSEN2011,A+
2023001231,CSEN2021,A+
2023000897,CSEN1101,A+
2023000897,CSEN2011,O
2023000897,CSEN2021,A+
2023004376,CSEN1101,B
2023004376,CSEN2011,B
2023004376,CSEN2021,B+
2023001733,CSEN1101,B+
2023001733,CSEN2011,A+
2023001733,CSEN2021,B+
2023000468,CSEN1101,A
2023000468,CSEN2011,B+
2023000209,CSEN1101,B+
2023000209,CSEN2011,B+
2023001769,CSEN1101,B+
2023001769,CSEN2011,F
2023003368,CSEN1101,A
2023003924,CSEN1101,A
2023001358,CSEN1101,B+
2023001197,CSEN1101,A+
2023004180,CSEN1101,A
2023001923,CSEN1101,B+
2023000318,CSEN1101,C
2023002050,CSEN1101,A
2023003226,CSEN1101,B+
2023000966,CSEN1101,B
2023001105,CSEN1101,A
2023000760,CSEN1101,A+
2023003408,CSEN1101,C
2023003404,CSEN1101,F
2023000873,CSEN1101,B+
2023001729,CSEN1101,B+
2023006198,CSEN1101,P
